time,Observed_Predecessor1,Observed_Predecessor2,Observed_Predecessor3,Observed_Predecessor4
1748372933.064634,0,1,2,3
1748372932.7268732,0,1,2,3
1748372932.7417238,0,1,2,3
1748372932.7409449,0,1,2,3
1748372932.691974,0,1,2,3
1748372932.7392418,0,1,2,3
1748372933.115745,0,1,2,3
1748372932.767009,0,1,2,3
1748372932.7820244,0,1,2,3
1748372932.781064,0,1,2,3
1748372932.74742,0,1,2,3
1748372932.779995,0,1,2,3
1748372932.742353,0,1,2,3
1748372933.135737,0,1,2,3
1748372932.769047,0,1,2,3
1748372932.8071263,0,1,2,3
1748372932.8221414,0,1,2,3
1748372932.8211784,0,1,2,3
1748372932.820115,0,1,2,3
1748372933.184523,0,1,2,3
1748372932.789561,0,1,2,3
1748372933.178788,0,1,2,3
1748372932.847399,0,1,2,3
1748372932.861292,0,1,2,3
1748372932.8622782,0,1,2,3
1748372932.8602338,0,1,2,3
1748372933.230201,0,1,2,3
1748372932.848395,0,1,2,3
1748372932.840592,0,1,2,3
1748372932.887905,0,1,2,3
1748372932.9023952,0,1,2,3
1748372932.904054,0,1,2,3
1748372932.868419,0,1,2,3
1748372932.900352,0,1,2,3
1748372933.252346,0,1,2,3
1748372932.9281592,0,1,2,3
1748372932.9425137,0,1,2,3
1748372932.89033,0,1,2,3
1748372932.9441948,0,1,2,3
1748372932.9404695,0,1,2,3
1748372933.293253,0,1,2,3
1748372933.300122,0,1,2,3
1748372932.9687407,0,1,2,3
1748372932.983397,0,1,2,3
1748372932.9843173,0,1,2,3
1748372932.947153,0,1,2,3
1748372932.940159,0,1,2,3
1748372932.9806476,0,1,2,3
1748372933.344687,0,1,2,3
1748372932.968648,0,1,2,3
1748372933.0088708,0,1,2,3
1748372933.0235186,0,1,2,3
1748372933.0244362,0,1,2,3
1748372933.02082,0,1,2,3
1748372933.375903,0,1,2,3
1748372932.991472,0,1,2,3
1748372933.048983,0,1,2,3
1748372933.064555,0,1,2,3
1748372933.0650527,0,1,2,3
1748372933.0610263,0,1,2,3
1748372933.416411,0,1,2,3
1748372933.406322,0,1,2,3
1748372933.047912,0,1,2,3
1748372933.04036,0,1,2,3
1748372933.0891008,0,1,2,3
1748372933.1051717,0,1,2,3
1748372933.104679,0,1,2,3
1748372933.068167,0,1,2,3
1748372933.1015062,0,1,2,3
1748372933.459042,0,1,2,3
1748372933.1301131,0,1,2,3
1748372933.1448534,0,1,2,3
1748372933.145294,0,1,2,3
1748372933.095514,0,1,2,3
1748372933.1418278,0,1,2,3
1748372933.492503,0,1,2,3
1748372933.170526,0,1,2,3
1748372933.1849723,0,1,2,3
1748372933.1856215,0,1,2,3
1748372933.520322,0,1,2,3
1748372933.148224,0,1,2,3
1748372933.182634,0,1,2,3
1748372933.140174,0,1,2,3
1748372933.532211,0,1,2,3
1748372933.167139,0,1,2,3
1748372933.210667,0,1,2,3
1748372933.2257416,0,1,2,3
1748372933.2250926,0,1,2,3
1748372933.573612,0,1,2,3
1748372933.2227583,0,1,2,3
1748372933.188495,0,1,2,3
1748372933.251148,0,1,2,3
1748372933.2658825,0,1,2,3
1748372933.2652144,0,1,2,3
1748372933.2631123,0,1,2,3
1748372933.609609,0,1,2,3
1748372933.249247,0,1,2,3
1748372933.244817,0,1,2,3
1748372933.291294,0,1,2,3
1748372933.634143,0,1,2,3
1748372933.3053298,0,1,2,3
1748372933.653416,0,1,2,3
1748372933.268297,0,1,2,3
1748372933.3032486,0,1,2,3
1748372933.306488,0,1,2,3
1748372933.289317,0,1,2,3
1748372933.331476,0,1,2,3
1748372933.688258,0,1,2,3
1748372933.3462,0,1,2,3
1748372933.3470137,0,1,2,3
1748372933.3433774,0,1,2,3
1748372933.3718104,0,1,2,3
1748372933.3871317,0,1,2,3
1748372933.3863115,0,1,2,3
1748372933.339377,0,1,2,3
1748372933.383674,0,1,2,3
1748372933.352409,0,1,2,3
1748372933.718975,0,1,2,3
1748372933.367763,0,1,2,3
1748372933.755027,0,1,2,3
1748372933.4123566,0,1,2,3
1748372933.77025,0,1,2,3
1748372933.4264317,0,1,2,3
1748372933.427477,0,1,2,3
1748372933.4237833,0,1,2,3
1748372933.389635,0,1,2,3
1748372933.802863,0,1,2,3
1748372933.4526477,0,1,2,3
1748372933.4677746,0,1,2,3
1748372933.4665437,0,1,2,3
1748372933.4640832,0,1,2,3
1748372933.439192,0,1,2,3
1748372933.450328,0,1,2,3
1748372933.492763,0,1,2,3
1748372933.84201,0,1,2,3
1748372933.507907,0,1,2,3
1748372933.5066562,0,1,2,3
1748372933.47096,0,1,2,3
1748372933.504202,0,1,2,3
1748372933.886123,0,1,2,3
1748372933.868925,0,1,2,3
1748372933.532889,0,1,2,3
1748372933.49053,0,1,2,3
1748372933.5480287,0,1,2,3
1748372933.546774,0,1,2,3
1748372933.544318,0,1,2,3
1748372933.917407,0,1,2,3
1748372933.5730314,0,1,2,3
1748372933.5881572,0,1,2,3
1748372933.586888,0,1,2,3
1748372933.547571,0,1,2,3
1748372933.538472,0,1,2,3
1748372933.5845,0,1,2,3
1748372933.567416,0,1,2,3
1748372933.951424,0,1,2,3
1748372933.6132472,0,1,2,3
1748372933.628274,0,1,2,3
1748372933.6270106,0,1,2,3
1748372933.6246154,0,1,2,3
1748372933.593478,0,1,2,3
1748372933.99459,0,1,2,3
1748372933.982999,0,1,2,3
1748372933.653364,0,1,2,3
1748372933.668387,0,1,2,3
1748372933.6671302,0,1,2,3
1748372933.664736,0,1,2,3
1748372934.032007,0,1,2,3
1748372933.638061,0,1,2,3
1748372933.648902,0,1,2,3
1748372933.693503,0,1,2,3
1748372933.707248,0,1,2,3
1748372933.7096312,0,1,2,3
1748372933.668293,0,1,2,3
1748372933.7050796,0,1,2,3
1748372934.067813,0,1,2,3
1748372933.689536,0,1,2,3
1748372933.7336206,0,1,2,3
1748372933.7473617,0,1,2,3
1748372933.7497604,0,1,2,3
1748372933.7451966,0,1,2,3
1748372934.0971,0,1,2,3
1748372934.110297,0,1,2,3
1748372933.7737725,0,1,2,3
1748372933.787484,0,1,2,3
1748372933.7898908,0,1,2,3
1748372933.749395,0,1,2,3
1748372933.73717,0,1,2,3
1748372933.785376,0,1,2,3
1748372934.147708,0,1,2,3
1748372933.769695,0,1,2,3
